"enseigne","ca","surface_vente","surface_totale","potentiel_Z10","potentiel_Z15","potentiel_Z20","potentiel_Z5","nb_primaire_Z10","nb_primaire_Z15","nb_primaire_Z20","nb_primaire_Z5","nb_secondaire_Z10","nb_secondaire_Z15","nb_secondaire_Z20","nb_secondaire_Z5","nb_gsa_Z10","nb_gsa_Z15","nb_gsa_Z20","nb_gsa_Z5","nb_ophtalmologiste_Z10","nb_ophtalmologiste_Z15","nb_ophtalmologiste_Z20","nb_ophtalmologiste_Z5","nb_pharmacie_Z10","nb_pharmacie_Z15","nb_pharmacie_Z20","nb_pharmacie_Z5","nb_pdv_Z10","nb_pdv_Z15","nb_pdv_Z20","nb_pdv_Z5","nb_conc1_Z10","nb_conc1_Z15","nb_conc1_Z20","nb_conc1_Z5","nb_conc2_Z10","nb_conc2_Z15","nb_conc2_Z20","nb_conc2_Z5","REVENU_TOTAL_Z10","REVENU_TOTAL_Z15","REVENU_TOTAL_Z20","REVENU_TOTAL_Z5","P10_POP_Z10","P10_POP_Z15","P10_POP_Z20","P10_POP_Z5","P10_MEN_Z10","P10_MEN_Z15","P10_MEN_Z20","P10_MEN_Z5","P10_INACT1564_Z10","P10_INACT1564_Z15","P10_INACT1564_Z20","P10_INACT1564_Z5","P10_RETR1564_Z10","P10_RETR1564_Z15","P10_RETR1564_Z20","P10_RETR1564_Z5","P10_ETUD1564_Z10","P10_ETUD1564_Z15","P10_ETUD1564_Z20","P10_ETUD1564_Z5","P10_ACTOCC1564_Z10","P10_ACTOCC1564_Z15","P10_ACTOCC1564_Z20","P10_ACTOCC1564_Z5"
"Big Bazar",2266320,67,265,939862,690151,3622863,233355,7,1,30,0,0,30,7,21,46,28,30,26,8,59,31,26,5,118,94,62,0,4,2,1,0,0,5,1,1,0,0,1,4498468502,864682967,3731455069,2568724553,90473,306759,212013,88467,163999,96636,10221,14965,7788,82108,73918,17110,15435,8695,2357,5513,53729,39254,53819,23967,113195,136827,43472,11624
"Big Bazar",2003893,217,377,2341856,118427,3667546,2077497,0,18,7,0,5,52,14,17,27,59,55,46,75,2,62,63,63,96,49,33,3,2,5,1,3,0,0,2,2,0,0,1,6155571248,4858282123,4020143253,3373557420,119668,328839,313621,109489,192925,77027,195570,49601,73430,94486,11866,9980,13493,7710,23612,459,31997,27058,55429,24926,15780,41045,201190,9765
"Big Bazar",2294865,26,406,1450982,2519825,3542474,1223130,13,20,21,8,37,0,7,34,13,8,34,62,53,53,58,55,127,37,102,103,1,4,3,3,2,5,5,0,2,2,2,0,6341265294,6060104886,7195127279,3565246472,252393,48510,245563,75415,122486,87223,59118,53980,47684,102877,86676,5453,8955,5596,6737,7551,33415,2117,20193,13934,160599,148405,153577,23941
"Big Bazar",2020753,28,86,1409296,206346,2828032,1878622,16,18,23,7,12,20,22,32,47,79,7,37,8,7,22,70,101,34,4,46,0,2,3,2,2,3,4,1,2,2,1,2,4575879344,2848114212,3120068429,1320693076,300718,159669,81443,16087,36778,38938,38356,94242,94146,90527,56974,40640,9755,20517,2636,4531,488,16366,16903,18288,36258,117930,26003,77032
"Big Bazar",1933068,252,111,1109640,3407886,2940130,1356716,15,4,30,19,6,11,26,13,78,19,34,27,25,6,10,23,129,131,14,29,4,2,2,3,3,2,0,1,2,0,0,2,4405416726,4672482662,4672155496,1837595502,136500,248488,93944,94532,116783,14410,122974,22045,65051,74755,73932,22811,9456,10216,4272,1930,7459,7897,48549,1430,20939,107427,215584,17819
"Big Bazar",2056103,40,205,4793526,2097469,2524379,1438547,6,11,18,9,12,52,33,21,60,21,62,60,27,76,28,40,108,49,128,99,6,4,4,3,2,1,4,1,1,1,0,1,5036381431,3759764261,1359061870,1169006413,98247,52480,159259,171268,120446,167974,237984,93629,14360,85545,92079,22888,12820,8315,21955,7293,9661,45556,20199,9247,117176,157761,213098,61658
"Big Bazar",2477027,187,198,4773179,2001476,1123660,953740,11,26,26,7,6,42,42,16,69,65,8,37,0,38,65,18,81,90,29,32,2,1,2,3,3,5,0,2,0,1,0,2,1519761729,3664003853,8909139157,3613311575,223907,408831,431268,160201,75730,70875,53862,31512,57670,9468,20677,5667,18191,18621,8512,3035,8959,44834,8294,3509,109217,17456,28073,38449
"Big Bazar",2151247,247,468,3416567,3780905,296510,912163,22,26,15,7,10,22,36,20,84,51,59,59,30,63,44,43,58,54,68,25,6,2,5,4,0,3,3,2,0,2,2,1,1482397648,1447868582,884300909,2422503250,232418,124057,24832,57523,128215,83726,115136,92309,71498,85938,98669,14300,7691,17897,17867,7617,11327,48146,12179,5954,110088,184718,4396,58841
"Big Bazar",250999,272,432,2989548,3681963,1717822,356212,11,23,14,18,0,7,22,35,17,45,15,64,59,54,24,53,145,51,4,58,4,2,3,1,0,3,0,2,1,1,1,0,1719073710,3291171936,8894090111,623465465,124667,194004,240039,113215,114383,205531,96182,58412,84143,48781,70170,36900,11038,11045,11512,3931,29582,43732,61277,15648,45651,15917,9622,28358
"Big Bazar",2270378,259,325,2873694,1491159,2392496,177402,8,28,13,1,15,49,5,17,3,10,50,54,63,71,15,24,54,96,129,81,2,4,3,2,0,1,3,0,1,1,2,1,2610262121,1726809034,2516933286,936820676,222946,364502,247970,121641,74948,145901,81398,34962,95438,61390,83862,24403,3930,6143,9711,3417,39660,41427,55322,12331,79528,81720,85217,52993
"Big Bazar",963037,175,154,3546142,3337793,963247,1336751,18,15,3,16,19,0,3,7,46,37,2,55,13,40,45,3,40,88,90,56,5,0,4,2,0,2,1,1,2,1,2,2,2640891757,6423796789,8800544985,874081779,287631,165947,116126,101323,26182,207806,161112,45073,38825,89282,69726,36983,1708,17172,4541,6080,45974,684,43083,15418,13527,112430,55493,45116
"Big Bazar",211388,25,165,1739746,696631,2262208,2520807,22,14,5,15,22,47,34,32,93,5,27,38,6,42,5,15,34,52,51,100,6,5,3,1,3,5,2,1,2,2,1,2,1156759742,960263039,2299963526,2853722057,371991,446387,261360,9765,70199,201063,105720,3062,19696,35861,885,20061,11736,17717,1425,6818,33781,35931,25504,2503,83792,52201,5121,56253
"Big Bazar",444228,66,365,954361,4499984,2633950,2008607,2,0,22,20,11,18,1,22,90,2,71,23,65,56,56,10,155,130,14,62,6,5,1,3,2,1,4,2,1,0,0,1,1317860863,4035891572,264016292,1253128853,354625,283563,344933,87726,154857,202628,53157,1698,25763,40050,36895,36558,1299,16850,15847,2369,18724,11057,49795,6590,6013,104444,50509,51189
"Big Bazar",1989969,188,277,1162041,1129488,2321921,1978476,11,8,17,10,5,21,2,26,32,26,2,2,54,16,39,48,156,25,60,90,2,3,2,1,3,4,2,2,0,0,1,0,5981812005,6816295492,3395693647,1309143670,14947,182095,392157,6202,87828,183461,143345,46587,98512,88853,4497,31801,8197,981,2479,4642,18695,33280,48520,7745,100844,17186,212675,1801
"Big Bazar",817212,269,77,2478705,3863022,3487290,2053967,1,8,6,8,2,4,20,29,89,24,77,44,15,58,17,52,109,115,23,34,4,0,0,3,0,1,3,2,0,2,2,0,6337307207,1852021709,9048863660,3280458308,120116,3717,155099,109310,102572,53983,77672,106741,78839,5737,13811,6423,6159,18342,11640,8354,12672,47066,24557,6203,148222,72814,8802,53154
"Big Bazar",1256815,57,43,556524,1694636,4049263,1174813,20,22,25,14,34,41,31,38,28,63,14,50,27,27,65,70,37,39,18,60,0,0,2,2,1,3,0,2,1,0,1,0,5832776283,986425816,550217329,3253958067,161312,316548,510043,203018,107823,71737,138933,85002,59056,36115,75780,32724,6831,23351,18701,6674,50794,40103,14326,14622,11176,170113,64923,33262
"Big Bazar",186957,72,109,152854,4131941,2480874,1980047,13,5,3,18,2,2,21,26,4,21,54,32,21,1,17,32,65,68,73,93,1,0,3,3,1,4,3,1,1,1,2,2,7026128032,3976281834,1624769189,2756925789,141620,289823,470923,142956,16164,159431,190574,73039,23982,35749,40065,31939,11800,3089,13608,2202,48601,50232,42207,20790,102476,58518,192400,40617
"Big Bazar",422822,200,138,1006011,1420999,2717637,1890639,13,10,20,1,19,14,43,12,90,15,3,55,3,32,55,18,1,16,99,37,0,0,5,2,0,0,2,2,1,2,2,0,6222475235,4226990610,2121876681,1053861019,22312,8223,114215,176886,51582,194224,2655,14401,69012,58098,91902,22334,4600,12005,25478,2782,17002,10768,22041,23468,151654,110132,86103,27637
"Big Bazar",1552750,138,366,1409370,1618194,2155388,1434819,16,5,29,22,12,19,35,21,85,48,1,62,66,4,51,16,84,27,65,75,2,1,1,4,2,4,1,2,2,1,0,2,787382611,4676960393,2304572456,3020958303,24370,111189,56392,195654,188182,43845,104969,31469,95002,53640,9745,19105,11051,11435,2477,5004,6804,17649,28257,22601,134149,52128,74969,9877
"Big Bazar",652426,212,263,2077089,3537207,3409782,410966,16,13,27,20,18,52,25,8,17,16,66,41,67,70,44,40,58,127,92,14,2,5,3,2,1,4,0,2,1,2,0,2,6345482357,3793636125,3847776366,2869901760,196836,332122,342656,176766,24230,106760,32183,2860,12179,10046,91004,14967,5970,9165,21052,278,19426,15603,7276,10956,115017,33742,93059,47180
"Big Bazar",2332962,100,347,4548018,4184580,3021819,1663073,14,26,22,13,24,14,38,2,14,46,26,57,67,40,47,36,15,155,36,75,1,0,3,1,3,1,2,1,0,2,0,2,6677804406,7043954627,5154315428,430641860,213093,165262,463953,183476,95337,186848,212302,68187,41559,91518,107262,26013,16196,21496,3150,6907,27643,7934,53461,1574,39074,157184,14823,32947
"Big Bazar",2417582,212,422,1491162,1946953,3678488,2597951,6,19,26,16,16,38,21,29,24,20,78,12,58,14,44,20,54,6,95,62,0,0,3,3,0,1,2,1,1,2,2,0,3738756583,2964976641,2989737045,497057519,291348,344297,47334,16715,191092,161726,218313,38209,4356,52205,53831,29818,11110,3181,16468,3008,18945,44480,46976,4102,63794,179789,95874,45198
"Big Bazar",211985,49,338,2915185,3720940,732962,1870431,9,19,15,11,31,35,21,14,21,25,42,55,25,36,12,16,97,98,106,6,5,1,3,4,0,5,1,1,0,2,2,0,4314029448,2459150971,2930946090,1891423787,282873,287203,239994,96727,198343,123547,96257,77305,53711,94429,79704,21703,11133,17903,17633,8134,6937,28659,55811,14373,97636,22366,67969,63222
"Big Bazar",2236401,31,154,4942952,991773,855928,978618,21,8,7,7,27,9,12,27,61,50,55,41,20,3,65,3,85,24,60,20,0,1,5,3,0,1,3,2,1,0,1,0,1059560015,6038976146,1579337219,2578325292,5506,80070,553800,81566,159655,190722,191613,91265,48225,35626,94603,32866,14478,9798,26377,3663,29339,43322,55520,676,56447,1737,214841,71893
"Big Bazar",436158,158,113,4528908,1798882,3257074,2540796,10,3,16,17,24,27,1,25,0,15,60,50,2,3,36,20,5,158,5,85,4,2,3,3,0,3,2,2,2,2,0,1,4296583724,867874629,4198576684,2770220129,196647,28677,332917,6695,66693,207872,126932,30686,6406,41131,8730,13105,1516,17177,4670,350,31551,12932,39976,27105,52275,44521,39211,30454
"Big Bazar",1101481,198,178,4582118,1792754,873224,965223,12,20,18,0,27,10,40,21,37,11,17,30,52,47,65,57,22,92,134,79,1,2,4,3,1,0,4,2,0,1,2,2,1021466380,5375273962,6287758717,1106975621,420262,133567,411181,98853,84366,81382,170632,101517,12351,100074,88855,23326,16124,10944,17150,8190,31352,47516,34547,10772,67997,132956,223616,1817
"Big Bazar",1453107,223,352,4749033,4307556,1604761,2008936,5,23,18,8,5,8,4,19,28,56,22,57,34,66,7,29,84,75,51,6,6,3,4,3,3,2,4,2,0,0,1,2,4562440873,1716795194,7098356549,105764795,111557,408800,197582,34241,121042,111785,256217,95666,81376,82658,79372,25416,1943,10848,24453,2052,33641,28533,22462,17447,89274,144156,83779,34007
"Big Bazar",1177550,114,445,2043024,3210568,3973816,1494806,21,20,30,10,10,36,15,36,16,16,41,62,71,39,57,44,84,24,109,100,1,3,5,1,3,2,2,1,2,0,2,0,2151213610,4717871137,5498146140,1830128343,76346,322218,110565,87212,133968,66660,120505,35800,25725,87046,42233,813,7507,20227,974,1930,32904,49660,30953,18439,22795,64421,95951,81953
"Big Bazar",876767,193,456,2608763,239885,847374,411422,7,5,29,8,5,30,24,15,56,14,53,55,53,59,50,19,22,58,57,69,4,0,2,4,0,0,2,1,1,1,0,1,2552851342,5787378772,4778369469,2711154318,172357,221683,171343,14671,3436,159991,136370,104938,25183,43299,76612,9778,6795,9341,19985,6538,1025,18634,43799,11395,166734,59785,9865,70492
"Big Bazar",1272660,26,254,1441695,3280670,3867559,1950338,6,27,0,6,11,50,14,26,68,31,59,37,60,38,13,74,133,123,81,29,4,3,4,2,2,2,2,1,2,1,2,2,3253362020,152564166,5668986317,809344667,430389,366180,284217,66564,75900,90565,92170,92959,19328,10091,14159,35920,13840,20149,3247,799,24678,35172,33692,26456,41870,10634,104593,4685
"Big Bazar",1319893,179,108,3480351,2243842,2505155,261827,11,10,24,10,37,41,27,39,62,67,78,56,64,60,22,38,38,92,33,56,4,0,2,1,1,3,4,0,2,2,0,1,2126622709,2430979289,7861887919,1063237188,106781,353333,490008,16400,11684,23815,12468,35522,35639,82460,81614,11676,13098,10671,20806,8251,33763,1347,48497,18238,142011,15044,123909,48862
"Big Bazar",420149,24,241,1735355,3545707,962442,2207472,13,5,9,19,13,28,34,35,63,2,59,11,3,43,43,21,2,126,0,58,1,2,2,2,3,2,3,1,0,0,0,2,1859715254,4747558420,7028847550,263985745,64852,355503,497721,128419,76904,168455,192894,22014,3852,32668,31970,41922,8984,1483,20029,8338,33235,40138,59095,22224,141348,87789,215020,13168
"Big Bazar",670029,180,49,4734075,3379667,3150880,1167661,4,21,27,10,1,10,32,24,6,34,68,62,41,34,53,45,93,119,44,13,4,4,5,2,3,0,5,2,2,2,2,0,2479917699,4023084434,2246266366,3627010402,425729,425491,201497,29822,199428,47746,263155,82365,43577,69255,118900,10290,16385,7360,15327,993,44836,17039,2225,23820,8292,31568,65108,34106
"Big Bazar",384435,33,236,2044552,4232299,2681651,1802335,10,1,30,3,37,24,11,36,64,28,0,37,23,69,20,52,40,42,7,96,4,0,2,4,2,4,0,0,0,0,0,0,5853619666,1295498536,4359963609,2975821925,94254,141875,564599,61397,75995,190615,197661,3750,2425,89522,6922,1185,14270,16491,334,5526,24601,43342,37321,10228,93752,108358,170014,26597
"Big Bazar",1196052,118,191,4295467,4790695,4255890,2197605,20,0,3,12,19,42,12,22,56,38,56,49,34,68,58,15,14,83,31,78,3,5,2,2,0,2,2,2,2,2,0,2,4430797624,3629552709,2519223365,2159037684,160404,5520,478938,191245,151104,182384,210620,97539,58651,20718,116531,33879,14081,7044,2115,1038,39902,48315,567,7953,75892,17669,167042,75615
"Big Bazar",1422317,272,335,3333231,4442628,2903568,501360,17,4,29,20,31,26,41,26,17,30,10,26,31,61,53,45,142,138,71,51,6,3,0,2,2,5,3,1,0,2,0,2,6167651933,3913694125,4393049070,3600368688,194627,186738,4352,41725,62775,74993,256163,54326,40310,58980,101016,37341,2868,11951,2958,6996,5470,25513,34886,13340,130639,87653,206747,15233
"Big Bazar",2121863,132,84,854604,2976803,3328616,899725,3,23,18,12,23,13,19,15,45,61,23,29,52,10,51,28,60,116,102,6,3,0,5,1,1,0,2,2,1,2,1,0,1010622103,2012524701,3105136977,2548170967,373065,366484,209184,124615,18618,118312,127468,45438,24704,68043,11143,12920,15014,3512,1209,1448,9559,48514,57420,28609,93734,34626,101827,28834
"Big Bazar",1170251,221,192,4691233,4193353,1970413,137549,5,15,24,14,18,30,15,23,56,50,53,5,32,59,46,6,45,136,105,93,2,3,0,3,2,1,1,2,1,2,2,0,6889867407,212348481,8109738668,2720884394,187181,94855,289991,137576,197861,122539,96912,11852,36099,49364,68782,30443,2701,18717,22880,1620,45156,25610,55313,14653,49599,166236,5174,30998
"Big Bazar",2301504,108,59,2931737,3454716,4275992,319064,2,2,12,22,26,4,21,9,1,56,8,27,53,42,10,35,20,58,54,23,6,0,0,3,0,3,0,2,2,2,2,1,2054548361,2263740173,2680133639,886759256,274695,24525,155084,88541,96661,75057,241244,32886,34040,30080,22385,5500,14720,6825,18675,4487,18324,38098,1744,1746,149260,109115,120278,11653
"Big Bazar",1392501,93,351,1588344,1696639,2214670,1417009,11,13,11,14,7,45,42,8,11,17,3,34,28,70,0,8,25,100,57,5,3,4,5,3,3,0,2,0,2,0,2,2,4534025783,4676454647,404929642,789564846,52492,188274,39155,66589,66604,138803,257882,93808,33885,10743,13022,1277,2196,17166,7772,2872,36683,47982,21335,22750,101084,81033,219249,66237
"Big Bazar",574910,176,280,1597524,2156799,3090820,1102266,12,8,29,12,16,1,24,7,12,51,1,26,62,19,41,7,102,66,73,48,1,0,2,1,0,0,3,1,1,0,2,1,2894673403,4297166247,1852799028,1214043635,292152,418941,55165,139283,166155,205885,176721,16681,42289,7376,76153,36844,5069,3250,4040,2165,40959,19394,47015,20141,45165,21221,113819,47794
"Big Bazar",1642224,132,156,2767122,2726805,3093407,2747471,11,1,7,5,36,15,14,35,3,1,64,39,17,68,7,14,14,75,115,95,2,1,3,1,3,2,2,2,2,2,1,1,4584660150,1925194473,1963666316,3564476735,131574,24964,299592,2485,90222,10056,158635,10454,875,15399,5268,11280,4594,8128,11757,6178,41492,20097,60960,26493,32225,156486,197908,33351
"Big Bazar",1761305,147,307,2712705,1769009,3141625,2408426,16,9,19,19,38,3,4,13,6,71,27,36,15,14,38,74,144,133,86,62,4,1,5,3,0,2,5,1,1,0,2,0,1870614578,1444548463,8725992085,2994374825,39963,436777,186086,61941,31810,189502,13502,13569,12727,84391,121572,23390,1369,2425,22566,4691,37499,24823,14352,9088,175044,51524,160023,29180
"Big Bazar",400398,239,153,1901203,1579345,1279333,1076315,18,16,17,2,2,2,5,8,3,49,39,61,41,30,56,69,18,49,33,58,2,0,3,2,1,0,0,1,0,2,1,1,679979900,3180232052,6519927648,1090789762,384618,478656,481427,72023,106436,96836,4849,28399,12021,104005,91538,31233,15938,22570,11498,2933,15060,47517,48789,5286,123360,30686,187344,77917
"Big Bazar",1747891,78,463,4241124,4422685,3719596,1398009,8,20,5,2,19,54,12,35,56,70,61,19,12,18,12,66,115,117,43,22,5,4,5,3,3,0,4,1,0,2,0,2,3142418545,6629941299,5987300111,570516231,291383,450597,76819,170259,79725,132089,90021,44414,88561,36933,44427,4922,9733,9927,23416,5287,17456,30640,48175,18947,7331,7930,6015,49928
"Big Bazar",1561682,99,344,1093472,268258,3107696,2446056,20,7,3,4,22,39,7,28,5,59,74,62,43,19,21,19,70,2,123,74,3,2,4,4,0,2,2,0,2,2,0,0,2975417220,3898227991,196302977,1314608714,184519,227538,550930,182847,113869,208108,181942,70039,19930,84274,72373,12346,4693,12907,15050,5964,54115,21332,47641,16511,27614,182591,1742,17875
"Big Bazar",589664,268,408,590889,1407316,2905366,371992,6,18,11,3,8,13,5,32,69,15,16,60,60,52,10,72,23,120,130,49,0,0,3,4,2,0,4,1,2,1,1,1,5621035102,5360635034,2146969393,85640826,201630,156549,270693,19623,66248,184471,100625,103637,92898,102690,31710,40224,2473,21532,13600,7096,51925,21646,4194,17127,118262,183799,150569,64373
"Big Bazar",545965,199,262,2185538,3907827,4338776,787283,17,3,16,13,38,40,6,1,78,6,50,5,18,35,18,7,51,8,134,32,4,0,5,4,0,2,1,2,1,0,2,1,4158491567,3956431617,6798959982,78848181,388389,120355,493004,199848,191405,100996,89133,2918,4942,53360,26058,19849,10220,21895,1505,3548,4975,38240,41875,27719,69048,95850,6499,14766
"Big Bazar",1474730,190,117,1133843,1397060,4251453,1001357,9,25,14,2,1,53,16,33,15,46,62,34,42,71,54,74,82,123,53,102,0,3,1,2,2,3,1,2,1,0,1,0,4290818689,3550079920,5456959548,762519605,258893,354853,561778,85141,160777,186122,154402,32844,71671,8583,109892,13802,10257,4672,7508,7075,23498,13362,5747,26740,123078,110944,92027,77119
"Big Bazar",250410,225,383,3235539,414868,2834971,290613,15,9,30,9,24,9,40,5,61,0,32,6,67,34,20,25,152,3,86,38,0,1,0,2,1,4,1,0,2,1,0,2,529664261,3663184878,2581902571,3634790530,177794,455113,273607,31400,9854,167844,164149,46219,99291,44530,38447,10562,16903,7557,22185,1375,29715,13683,36994,907,145978,115494,8560,16708
"Big Bazar",2393886,141,55,2982859,3722603,4348992,1695532,16,4,17,5,3,43,28,18,29,22,21,50,24,70,56,14,122,58,131,86,0,1,3,2,3,1,5,0,1,2,2,0,3456651193,593930355,6583719655,2303004647,91332,370825,262606,8808,81521,27454,220235,63591,95322,62546,122653,27890,5378,22373,1779,3881,34952,36862,9802,12370,132899,62489,188727,58952
"Big Bazar",2283315,38,299,4072132,2180270,2611338,821390,22,9,2,1,35,29,16,36,3,75,65,31,63,4,7,4,56,156,25,86,3,4,1,4,2,0,5,2,1,1,2,0,5131580643,3468945724,7912128445,1652220790,118595,362029,240393,150070,139615,83734,53726,6620,22274,92662,104004,41471,16664,6171,3886,7410,46753,46018,38266,21270,75718,177461,106388,47994
"Big Bazar",401399,205,388,2126472,3631094,2538725,32389,0,3,19,9,7,48,20,35,29,80,69,51,38,25,23,44,9,49,60,71,2,2,0,4,1,1,2,0,0,0,2,1,4782735176,4402593692,4519648111,1726972506,117408,350854,416881,30392,40000,102410,102206,23689,75757,62368,48024,24191,2032,5316,20440,4111,10440,29795,33816,24881,46049,130506,41214,61039
